YouTube Playlist Export,,,,,,,,,,
Published Date,Video URL,Channel,Title,Description,,,,,,
7/1/20 13:38,https://www.youtube.com/watch?v=cP0D2_jhqPU,PowerfulJRE,Joe Rogan Experience #1500 - Barbara Freese,"Barbara Freese is an author, environmental attorney and a former Minnesota assistant attorney general. Her latest book Industrial-Strength Denial is now available: https://www.ucpress.edu/book/9780520296282/industrial-strength-denial",,,,,,
7/2/20 12:33,https://www.youtube.com/watch?v=FtNW3I1FZ5o,PowerfulJRE,Joe Rogan Experience #1501 - James Lindsay,"James Lindsay is an author, mathematician, and political commentator. His latest book, co-authored with Helen Pluckrose, Cynical Theories: How Activist Scholarship Made Everything about Race, Gender, and Identity―and Why This Harms Everybody will be available on August 25, 2020.",,,,,,
7/3/20 13:01,https://www.youtube.com/watch?v=MNvjRzcfcx0,PowerfulJRE,Joe Rogan Experience #1502 - Russell Peters,"Russell Peters is an actor and stand up comedian. His latest stand up special ""Deported"" is now available on Amazon Prime. @Russell Peters",,,,,,
7/7/20 11:47,https://www.youtube.com/watch?v=VAoo7oXtyy4,PowerfulJRE,Joe Rogan Experience #1503 - Josh Barnett,Josh Barnett is a mixed martial artist and professional wrestler who competes in the Heavyweight division of Bellator. @Josh Barnett,,,,,,
7/8/20 12:01,https://www.youtube.com/watch?v=NpOxxzOhZyg,PowerfulJRE,Joe Rogan Experience #1504 - Alan Levinovitz,"Dr. Alan Levinovitz is an author and Associate Professor of Religion at James Madison University. His latest book Natural: How Faith in Nature's Goodness Leads to Harmful Fads, Unjust Laws, and Flawed Science is available now: https://www.amazon.com/Natural-Natures-Goodness-Harmful-Science/dp/0807010871 Also look for his podcast SHIFT available at http://shiftpodcast.co/",,,,,,
7/9/20 11:50,https://www.youtube.com/watch?v=amyaoTtZaRE,PowerfulJRE,Joe Rogan Experience #1505 - Hannibal Buress,"Hannibal Buress is a stand-up comedian, actor, television writer and host. Look for his new special ""Miami Nights"" available now on YouTube. https://youtu.be/kVc4-05Agf0 @Hannibal Buress",,,,,,
7/10/20 14:53,https://www.youtube.com/watch?v=U5o9b2RVC2E,PowerfulJRE,Joe Rogan Experience #1506 - James Nestor,"James Nestor is a journalist who has written for Outside magazine, Men's Journal, Scientific American, Dwell magazine, National Public Radio, The New York Times, The Atlantic, the San Francisco Chronicle magazine, and others. His new book Breath: The New Science of a Lost Art is available now: https://www.amazon.com/Breath-New-Science-Lost-Art/dp/0735213615",,,,,,
7/14/20 11:59,https://www.youtube.com/watch?v=BY3CY36WAec,PowerfulJRE,Joe Rogan Experience #1507 - Bob Saget,"Bob Saget is a stand-up comedian, actor, television host and director. His new podcast is ""Bob Saget's Here For You"" is available now on Apple Podcasts. @Bob Saget",,,,,,
7/15/20 12:11,https://www.youtube.com/watch?v=OK2zgeJLVwU,PowerfulJRE,Joe Rogan Experience #1508 - Peter Schiff,"Peter Schiff is an American businessman, investment broker, author and financial commentator. Schiff is CEO and chief global strategist of Euro Pacific Capital Inc. He also hosts his own podcast called “The Peter Schiff Podcast” available on iTunes and at SchiffRadio.com @Peter Schiff",,,,,,
7/16/20 11:56,https://www.youtube.com/watch?v=CtftWcgXjdg,PowerfulJRE,Joe Rogan Experience #1509 - Abigail Shrier,"Abigail Shrier is an author, journalist, and writer for the Wall Street Journal. Her new book ""Irreversible Damage: The Transgender Craze Seducing Our Daughters"" is available now. https://www.amazon.com/Irreversible-Damage-Transgender-Seducing-Daughters/dp/1684510317",,,,,,
